R1: IF persons = '2' -> evaluation = 'unacc' [Precision: 100%, Coverage: 33.21%]
R173: IF buying = 'high' AND maint = 'low' AND doors = '2' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R174: IF buying = 'high' AND maint = 'low' AND doors = '3' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R175: IF buying = 'high' AND maint = 'low' AND doors = '3' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R176: IF buying = 'high' AND maint = 'low' AND doors = '5more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R177: IF buying = 'high' AND maint = 'low' AND doors = '5more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R178: IF buying = 'high' AND maint = 'low' AND doors = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R179: IF buying = 'high' AND maint = 'high' AND doors = '2' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R180: IF buying = 'high' AND maint = 'high' AND doors = '5more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R181: IF buying = 'high' AND maint = 'high' AND doors = '5more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R182: IF buying = 'high' AND maint = 'high' AND doors = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R183: IF buying = 'high' AND maint = 'high' AND doors = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R184: IF buying = 'high' AND maint = 'med' AND doors = '3' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R185: IF buying = 'high' AND maint = 'med' AND doors = '5more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R186: IF buying = 'high' AND maint = 'med' AND doors = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R187: IF buying = 'low' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.29%]
R188: IF buying = 'low' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.29%]
R189: IF buying = 'low' AND maint = 'low' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.29%]
R190: IF buying = 'low' AND maint = 'low' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.29%]
R191: IF buying = 'low' AND maint = 'low' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.22%]
R192: IF buying = 'low' AND maint = 'low' AND persons = '4' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R193: IF buying = 'low' AND maint = 'high' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R194: IF buying = 'low' AND maint = 'high' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.29%]
R195: IF buying = 'low' AND maint = 'high' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R196: IF buying = 'low' AND maint = 'high' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.22%]
R197: IF buying = 'low' AND maint = 'high' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R198: IF buying = 'low' AND maint = 'vhigh' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R199: IF buying = 'low' AND maint = 'vhigh' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R200: IF buying = 'low' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R201: IF buying = 'low' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.22%]
R202: IF buying = 'low' AND maint = 'med' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.29%]
R203: IF buying = 'low' AND maint = 'med' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.22%]
R204: IF buying = 'low' AND maint = 'med' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.22%]
R205: IF buying = 'low' AND maint = 'med' AND persons = '4' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R206: IF buying = 'med' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.22%]
R207: IF buying = 'med' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.29%]
R208: IF buying = 'med' AND maint = 'low' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R209: IF buying = 'med' AND maint = 'low' AND persons = 'more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R210: IF buying = 'med' AND maint = 'low' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.29%]
R211: IF buying = 'med' AND maint = 'low' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.22%]
R212: IF buying = 'med' AND maint = 'low' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.29%]
R213: IF buying = 'med' AND maint = 'low' AND persons = '4' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R214: IF buying = 'med' AND maint = 'high' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R215: IF buying = 'med' AND maint = 'high' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R216: IF buying = 'med' AND maint = 'high' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R217: IF buying = 'med' AND maint = 'high' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R218: IF buying = 'med' AND maint = 'vhigh' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R219: IF buying = 'med' AND maint = 'vhigh' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R220: IF buying = 'med' AND maint = 'vhigh' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R221: IF buying = 'med' AND maint = 'vhigh' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R222: IF buying = 'med' AND maint = 'vhigh' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R223: IF buying = 'med' AND maint = 'med' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R224: IF buying = 'med' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.22%]
R225: IF buying = 'med' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R226: IF buying = 'med' AND maint = 'med' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.29%]
R227: IF buying = 'med' AND maint = 'med' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R228: IF buying = 'vhigh' AND maint = 'low' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R229: IF buying = 'vhigh' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R230: IF buying = 'vhigh' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R231: IF buying = 'vhigh' AND maint = 'low' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R232: IF buying = 'vhigh' AND maint = 'med' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R233: IF buying = 'vhigh' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R234: IF buying = 'vhigh' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R235: IF buying = 'vhigh' AND maint = 'med' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R236: IF buying = 'high' AND maint = 'low' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R237: IF buying = 'high' AND maint = 'low' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R238: IF buying = 'high' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R239: IF buying = 'high' AND maint = 'low' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R240: IF buying = 'high' AND maint = 'low' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R241: IF buying = 'high' AND maint = 'high' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R242: IF buying = 'high' AND maint = 'high' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R243: IF buying = 'high' AND maint = 'high' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R244: IF buying = 'high' AND maint = 'med' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R245: IF buying = 'high' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R246: IF buying = 'high' AND maint = 'med' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R247: IF buying = 'high' AND maint = 'med' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.29%]
R248: IF buying = 'low' AND doors = '2' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.22%]
R249: IF buying = 'low' AND doors = '2' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R250: IF buying = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R251: IF buying = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.22%]
R252: IF buying = 'low' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R253: IF buying = 'med' AND doors = '2' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R254: IF buying = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R255: IF buying = 'vhigh' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R256: IF buying = 'vhigh' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.22%]
R257: IF buying = 'vhigh' AND doors = '3' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R258: IF buying = 'high' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R259: IF buying = 'high' AND doors = '2' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R260: IF buying = 'high' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.29%]
R261: IF buying = 'high' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R262: IF buying = 'high' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R263: IF maint = 'low' AND doors = '2' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R264: IF maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R265: IF maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R266: IF maint = 'high' AND doors = '2' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R267: IF maint = 'high' AND doors = '3' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R268: IF maint = 'high' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R269: IF maint = 'high' AND doors = '3' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R270: IF maint = 'high' AND doors = '3' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R271: IF maint = 'high' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R272: IF maint = 'high' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R273: IF maint = 'high' AND doors = '4' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R274: IF maint = 'vhigh' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R275: IF maint = 'vhigh' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.29%]
R276: IF maint = 'med' AND doors = '2' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R277: IF maint = 'med' AND doors = '3' AND persons = '4' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R278: IF maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R279: IF maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R280: IF maint = 'med' AND doors = '5more' AND persons = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R281: IF maint = 'med' AND doors = '5more' AND persons = '4' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R282: IF maint = 'med' AND doors = '4' AND persons = 'more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R283: IF maint = 'med' AND doors = '4' AND persons = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R284: IF maint = 'med' AND doors = '4' AND persons = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R285: IF buying = 'low' AND maint = 'low' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R286: IF buying = 'low' AND maint = 'low' AND doors = '2' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R287: IF buying = 'low' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R288: IF buying = 'low' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R289: IF buying = 'low' AND maint = 'low' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R290: IF buying = 'low' AND maint = 'low' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R291: IF buying = 'low' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R292: IF buying = 'low' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R293: IF buying = 'low' AND maint = 'low' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R294: IF buying = 'low' AND maint = 'low' AND doors = '4' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R295: IF buying = 'low' AND maint = 'low' AND doors = '4' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R296: IF buying = 'low' AND maint = 'med' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R297: IF buying = 'low' AND maint = 'med' AND doors = '2' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R298: IF buying = 'low' AND maint = 'med' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R299: IF buying = 'low' AND maint = 'med' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R300: IF buying = 'low' AND maint = 'med' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R301: IF buying = 'low' AND maint = 'med' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R302: IF buying = 'low' AND maint = 'med' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R303: IF buying = 'low' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R304: IF buying = 'low' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R305: IF buying = 'low' AND maint = 'med' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R306: IF buying = 'low' AND maint = 'med' AND doors = '4' AND persons = 'more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R307: IF buying = 'low' AND maint = 'high' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R308: IF buying = 'low' AND maint = 'high' AND doors = '4' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R309: IF buying = 'low' AND maint = 'vhigh' AND doors = '4' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R310: IF buying = 'med' AND maint = 'low' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R311: IF buying = 'med' AND maint = 'low' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R312: IF buying = 'med' AND maint = 'low' AND doors = '2' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R313: IF buying = 'med' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R314: IF buying = 'med' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R315: IF buying = 'med' AND maint = 'low' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R316: IF buying = 'med' AND maint = 'low' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R317: IF buying = 'med' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R318: IF buying = 'med' AND maint = 'low' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R319: IF buying = 'med' AND maint = 'low' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R320: IF buying = 'med' AND maint = 'low' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R321: IF buying = 'med' AND maint = 'low' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R322: IF buying = 'med' AND maint = 'low' AND doors = '4' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R323: IF buying = 'med' AND maint = 'med' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R324: IF buying = 'med' AND maint = 'med' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R325: IF buying = 'med' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R326: IF buying = 'med' AND maint = 'med' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R327: IF buying = 'med' AND maint = 'med' AND doors = '4' AND persons = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R328: IF buying = 'med' AND maint = 'high' AND doors = '3' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R329: IF buying = 'med' AND maint = 'high' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R330: IF buying = 'med' AND maint = 'high' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R331: IF buying = 'med' AND maint = 'high' AND doors = '4' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R332: IF buying = 'vhigh' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R333: IF buying = 'vhigh' AND maint = 'low' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
